data;t;prec;p;rh;wdir;wspd
09/01/2022 20:00;9999;9999;9999;9999;309;3.09
09/01/2022 21:00;9999;9999;9999;9999;250;4.63
09/01/2022 22:00;9999;9999;9999;9999;268;4.63
10/01/2022 12:00;9999;9999;9999;9999;180;4.12
10/01/2022 13:00;9999;9999;9999;9999;170;3.6
10/01/2022 14:00;9999;9999;9999;9999;190;3.6
10/01/2022 15:00;9999;9999;9999;9999;170;3.09
10/01/2022 16:00;9999;9999;9999;9999;170;3.6
10/01/2022 17:00;9999;9999;9999;9999;180;5.14
10/01/2022 18:00;9999;9999;9999;9999;180;4.12
10/01/2022 19:00;9999;9999;9999;9999;250;3.09
10/01/2022 20:00;9999;9999;9999;9999;230;3.09
10/01/2022 21:00;9999;9999;9999;9999;220;3.09
10/01/2022 22:00;9999;9999;9999;9999;220;3.6
10/01/2022 23:00;9999;9999;9999;9999;170;3.09
11/01/2022 12:00;9999;9999;9999;9999;170;2.57
11/01/2022 13:00;9999;9999;9999;9999;180;3.6
11/01/2022 14:00;9999;9999;9999;9999;170;2.57
11/01/2022 15:00;9999;9999;9999;9999;160;2.57
11/01/2022 16:00;9999;9999;9999;9999;200;2.57
11/01/2022 17:00;9999;9999;9999;9999;180;3.6
11/01/2022 18:00;9999;9999;9999;9999;200;3.6
11/01/2022 19:00;9999;9999;9999;9999;190;4.12
11/01/2022 20:00;9999;9999;9999;9999;200;3.6
11/01/2022 21:00;9999;9999;9999;9999;170;3.6
11/01/2022 22:00;9999;9999;9999;9999;170;2.57
12/01/2022 12:00;9999;9999;9999;9999;9999;1.03
12/01/2022 13:00;9999;9999;9999;9999;9999;2.06
12/01/2022 14:00;9999;9999;9999;9999;160;2.06
12/01/2022 15:00;9999;9999;9999;9999;9999;1.54
12/01/2022 16:00;9999;9999;9999;9999;9999;2.57
12/01/2022 17:00;9999;9999;9999;9999;9999;3.09
12/01/2022 18:00;9999;9999;9999;9999;330;2.57
12/01/2022 19:00;9999;9999;9999;9999;310;4.12
12/01/2022 20:00;9999;9999;9999;9999;280;5.66
12/01/2022 21:00;9999;9999;9999;9999;310;5.66
12/01/2022 22:00;9999;9999;9999;9999;280;5.66
13/01/2022 12:00;9999;9999;9999;9999;175;4.12
13/01/2022 13:00;9999;9999;9999;9999;158;3.6
13/01/2022 14:00;9999;9999;9999;9999;129;2.57
13/01/2022 15:00;9999;9999;9999;9999;255;2.06
13/01/2022 16:00;9999;9999;9999;9999;200;3.6
13/01/2022 17:00;9999;9999;9999;9999;287;2.57
13/01/2022 18:00;9999;9999;9999;9999;289;4.63
13/01/2022 19:00;9999;9999;9999;9999;342;4.12
13/01/2022 20:00;9999;9999;9999;9999;302;5.14
13/01/2022 21:00;9999;9999;9999;9999;316;5.66
13/01/2022 22:00;9999;9999;9999;9999;307;4.12
14/01/2022 12:00;9999;9999;9999;9999;190;2.06
14/01/2022 13:00;9999;9999;9999;9999;210;2.06
14/01/2022 14:00;9999;9999;9999;9999;160;3.09
14/01/2022 15:00;9999;9999;9999;9999;210;2.57
14/01/2022 16:00;9999;9999;9999;9999;170;3.09
14/01/2022 17:00;9999;9999;9999;9999;250;5.14
14/01/2022 18:00;9999;9999;9999;9999;300;3.09
14/01/2022 19:00;9999;9999;9999;9999;330;3.6
14/01/2022 20:00;9999;9999;9999;9999;30;2.06
14/01/2022 21:00;9999;9999;9999;9999;300;3.6
14/01/2022 22:00;9999;9999;9999;9999;280;5.14
15/01/2022 12:00;9999;9999;9999;9999;170;5.66
15/01/2022 13:00;9999;9999;9999;9999;180;7.2
15/01/2022 14:00;9999;9999;9999;9999;180;6.17
15/01/2022 15:00;9999;9999;9999;9999;190;5.14
15/01/2022 16:00;9999;9999;9999;9999;190;5.66
15/01/2022 18:00;9999;9999;9999;9999;9999;4.12
15/01/2022 19:00;9999;9999;9999;9999;180;4.63
15/01/2022 20:00;9999;9999;9999;9999;160;4.63
15/01/2022 21:00;9999;9999;9999;9999;180;4.63
15/01/2022 22:00;9999;9999;9999;9999;190;5.14
16/01/2022 12:00;9999;9999;9999;9999;193;5.14
16/01/2022 13:00;9999;9999;9999;9999;169;5.66
16/01/2022 14:00;9999;9999;9999;9999;176;4.63
16/01/2022 15:00;9999;9999;9999;9999;167;3.6
16/01/2022 16:00;9999;9999;9999;9999;184;2.57
16/01/2022 17:00;9999;9999;9999;9999;205;3.09
16/01/2022 18:00;9999;9999;9999;9999;55;2.06
16/01/2022 19:00;9999;9999;9999;9999;189;5.14
16/01/2022 20:00;9999;9999;9999;9999;206;3.6
16/01/2022 21:00;9999;9999;9999;9999;198;6.17
16/01/2022 22:00;9999;9999;9999;9999;188;7.72
17/01/2022 12:00;9999;9999;9999;9999;190;3.09
17/01/2022 13:00;9999;9999;9999;9999;180;4.12
17/01/2022 14:00;9999;9999;9999;9999;200;5.14
17/01/2022 15:00;9999;9999;9999;9999;170;4.12
17/01/2022 16:00;9999;9999;9999;9999;220;5.14
17/01/2022 17:00;9999;9999;9999;9999;180;5.14
17/01/2022 18:00;9999;9999;9999;9999;230;4.12
17/01/2022 19:00;9999;9999;9999;9999;200;5.14
17/01/2022 20:00;9999;9999;9999;9999;220;5.14
17/01/2022 21:00;9999;9999;9999;9999;240;4.63
17/01/2022 22:00;9999;9999;9999;9999;220;3.09
18/01/2022 12:00;9999;9999;9999;9999;170;6.69
18/01/2022 13:00;9999;9999;9999;9999;190;7.2
18/01/2022 14:00;9999;9999;9999;9999;180;6.17
18/01/2022 15:00;9999;9999;9999;9999;200;5.66
18/01/2022 16:00;9999;9999;9999;9999;200;4.63
18/01/2022 17:00;9999;9999;9999;9999;200;3.09
18/01/2022 18:00;9999;9999;9999;9999;180;3.09
18/01/2022 19:00;9999;9999;9999;9999;260;2.57
18/01/2022 20:00;9999;9999;9999;9999;340;2.06
